term,tfidf
tyrant,0.024472960802830162
write,0.024045028377952783
store,0.024045028377952783
past,0.023822755139972306
body,0.023600481901991828
shadow,0.023600481901991828
behold,0.023378208664011347
care,0.023155935426030873
reason,0.023155935426030873
faith,0.02293366218805039
left,0.02293366218805039
almost,0.022489115712089433
dunsinane,0.02230580043942214
england,0.02230580043942214
witches,0.02230580043942214
dayes,0.02230580043942214
giuen,0.02230580043942214
feares,0.02230580043942214
drinke,0.02230580043942214
sonne,0.02230580043942214
knocking,0.02230580043942214
himselfe,0.02230580043942214
knowne,0.02230580043942214
nights,0.022266842474108955
last,0.022266842474108955
lose,0.02183891004923158
beauteous,0.02183891004923158
treasure,0.02183891004923158
back,0.02183891004923158
waste,0.021704356347628868
foul,0.021704356347628868
breast,0.021704356347628868
steal,0.021704356347628868
ah,0.021704356347628868
living,0.021704356347628868
wide,0.021704356347628868
excuse,0.021704356347628868
less,0.021704356347628868
roses,0.021704356347628868
virtue,0.021704356347628868
war,0.021704356347628868
parts,0.021704356347628868
thyself,0.021704356347628868
lov,0.021704356347628868
disgrace,0.0216166368112511
delight,0.0216166368112511
brow,0.0216166368112511
lips,0.02139436357327062
swift,0.02117209033529014
due,0.02117209033529014
play,0.02117209033529014
gainst,0.02117209033529014
need,0.02117209033529014
spend,0.02117209033529014
whether,0.02117209033529014
mother,0.020949817097309663
saw,0.020949817097309663
water,0.020949817097309663
purpose,0.020949817097309663
lost,0.020727543859329185
please,0.020727543859329185
shake,0.020505270621348708
lords,0.02028299738336823
children,0.02028299738336823
get,0.020060724145387752
house,0.020060724145387752
thunder,0.020060724145387752
flowers,0.01963279172051037
fear,0.01963279172051037
glory,0.01963279172051037
sake,0.01963279172051037
memory,0.01963279172051037
blessed,0.01963279172051037
donalbaine,0.019517575384494373
seeme,0.019517575384494373
daggers,0.019517575384494373
sisters,0.019517575384494373
knowes,0.019517575384494373
comming,0.019517575384494373
mur,0.019517575384494373
ban,0.019517575384494373
straight,0.019410518482529893
canst,0.019410518482529893
tender,0.019410518482529893
sing,0.019410518482529893
